id,scraped_at,travel_date,from_city,to_city,departure,arrival,price,driver,rating,seats_available,seats_total,seats_booked
251,2026-06-03T08:55:41.541668,2026-06-03,Kurnool,Hyderabad,19:30,22:00,550.0,N/A,,,3,
252,2026-06-03T08:55:41.541668,2026-06-03,Kurnool,Hyderabad,19:50,22:20,630.0,Boom,4.5,,3,
253,2026-06-03T08:55:41.541668,2026-06-03,Kurnool,Hyderabad,20:50,23:10,650.0,Jaya,4.8,,3,
254,2026-06-03T08:55:41.541668,2026-06-03,Kurnool,Hyderabad,21:00,00:00,400.0,Jagan,0.0,,3,
255,2026-06-03T08:55:41.541668,2026-06-03,Kurnool,Hyderabad,21:00,23:30,630.0,Jaya,4.8,,3,
137,2026-06-03T08:54:47.893234,2026-06-03,Vijayawada,Hyderabad,09:10,12:00,500.0,Baji,4.1,,3,
138,2026-06-03T08:54:47.893234,2026-06-03,Vijayawada,Hyderabad,09:10,14:50,820.0,N/A,,,3,
139,2026-06-03T08:54:47.893234,2026-06-03,Vijayawada,Hyderabad,09:30,14:00,650.0,Buvi,0.0,,3,
140,2026-06-03T08:54:47.893234,2026-06-03,Vijayawada,Hyderabad,09:30,15:10,720.0,Vijay Krishna,0.0,,3,
141,2026-06-03T08:54:47.893234,2026-06-03,Vijayawada,Hyderabad,09:30,15:10,750.0,Prasad,4.6,,3,
142,2026-06-03T08:54:47.893234,2026-06-03,Vijayawada,Hyderabad,10:20,14:50,600.0,Pandu,4.5,,3,
143,2026-06-03T08:54:47.893234,2026-06-03,Vijayawada,Hyderabad,10:30,15:00,700.0,Khadher,0.0,,3,
144,2026-06-03T08:54:47.893234,2026-06-03,Vijayawada,Hyderabad,11:00,15:50,700.0,Kadar,0.0,,3,
145,2026-06-03T08:54:47.893234,2026-06-03,Vijayawada,Hyderabad,11:00,15:50,750.0,Hariprasad,4.5,,3,
146,2026-06-03T08:54:47.893234,2026-06-03,Vijayawada,Hyderabad,11:30,14:50,750.0,Santosh,3.9,,3,
147,2026-06-03T08:54:47.893234,2026-06-03,Vijayawada,Hyderabad,11:50,16:20,550.0,Rajesh,3.0,,3,
148,2026-06-03T08:54:47.893234,2026-06-03,Vijayawada,Hyderabad,12:20,16:50,750.0,Santosh,3.9,,3,
149,2026-06-03T08:54:47.893234,2026-06-03,Vijayawada,Hyderabad,12:50,17:20,750.0,Srinu,4.3,,3,
150,2026-06-03T08:54:47.893234,2026-06-03,Vijayawada,Hyderabad,13:00,16:30,600.0,Rajesh,0.0,,3,
151,2026-06-03T08:54:47.893234,2026-06-03,Vijayawada,Hyderabad,13:00,18:50,850.0,Pradeep,4.0,,3,
152,2026-06-03T08:54:47.893234,2026-06-03,Vijayawada,Hyderabad,14:00,18:30,590.0,Prem,3.7,,3,
153,2026-06-03T08:54:47.893234,2026-06-03,Vijayawada,Hyderabad,14:00,17:30,720.0,Ravi,4.8,,3,
154,2026-06-03T08:54:47.893234,2026-06-03,Vijayawada,Hyderabad,14:00,17:30,750.0,Sairam,0.0,,3,
155,2026-06-03T08:54:47.893234,2026-06-03,Vijayawada,Hyderabad,14:10,18:00,800.0,Sunny,0.0,,3,
156,2026-06-03T08:54:47.893234,2026-06-03,Vijayawada,Hyderabad,14:30,18:40,850.0,Praveen,5.0,,3,
157,2026-06-03T08:54:47.893234,2026-06-03,Vijayawada,Hyderabad,15:00,19:30,690.0,Hithesh,4.6,,3,
158,2026-06-03T08:54:47.893234,2026-06-03,Vijayawada,Hyderabad,15:00,20:30,700.0,Viswanadham,4.8,,3,
159,2026-06-03T08:54:47.893234,2026-06-03,Vijayawada,Hyderabad,15:00,20:10,700.0,Anil,5.0,,3,
160,2026-06-03T08:54:47.893234,2026-06-03,Vijayawada,Hyderabad,15:10,18:50,730.0,N/A,,,3,
161,2026-06-03T08:54:47.893234,2026-06-03,Vijayawada,Hyderabad,15:40,19:40,700.0,N/A,,,3,
162,2026-06-03T08:54:47.893234,2026-06-03,Vijayawada,Hyderabad,15:50,19:50,750.0,Sai,5.0,,3,
163,2026-06-03T08:54:47.893234,2026-06-03,Vijayawada,Hyderabad,16:00,20:40,600.0,N/A,,,3,
164,2026-06-03T08:54:47.893234,2026-06-03,Vijayawada,Hyderabad,16:00,21:20,800.0,N/A,,,3,
165,2026-06-03T08:54:47.893234,2026-06-03,Vijayawada,Hyderabad,16:00,21:30,840.0,Pavan,0.0,,3,
166,2026-06-03T08:54:47.893234,2026-06-03,Vijayawada,Hyderabad,16:20,20:20,800.0,N/A,,,3,
167,2026-06-03T08:54:47.893234,2026-06-03,Vijayawada,Hyderabad,16:30,23:10,900.0,Sudheer,4.9,,3,
168,2026-06-03T08:54:47.893234,2026-06-03,Vijayawada,Hyderabad,17:00,23:00,650.0,Raj,4.8,,3,
169,2026-06-03T08:54:47.893234,2026-06-03,Vijayawada,Hyderabad,17:00,22:30,680.0,Instant Booking,,,3,
170,2026-06-03T08:54:47.893234,2026-06-03,Vijayawada,Hyderabad,17:00,21:30,700.0,Durga Prasad,0.0,,3,
171,2026-06-03T08:54:47.893234,2026-06-03,Vijayawada,Hyderabad,17:00,22:20,800.0,Ramesh,4.8,,3,
172,2026-06-03T08:54:47.893234,2026-06-03,Vijayawada,Hyderabad,17:00,23:40,900.0,Sudheer,4.9,,3,
173,2026-06-03T08:54:47.893234,2026-06-03,Vijayawada,Hyderabad,17:30,22:40,850.0,Abhishek,4.6,,3,
174,2026-06-03T08:54:47.893234,2026-06-03,Vijayawada,Hyderabad,18:00,22:30,580.0,Phanindra,4.9,,3,
175,2026-06-03T08:54:47.893234,2026-06-03,Vijayawada,Hyderabad,18:20,22:30,850.0,Suresh,4.0,,3,
176,2026-06-03T08:54:47.893234,2026-06-03,Vijayawada,Hyderabad,18:30,22:20,650.0,N/A,,,3,
177,2026-06-03T08:54:47.893234,2026-06-03,Vijayawada,Hyderabad,18:30,22:20,780.0,Balu,0.0,,3,
178,2026-06-03T08:54:47.893234,2026-06-03,Vijayawada,Hyderabad,19:00,23:40,600.0,Kotakonda,0.0,,3,
179,2026-06-03T08:54:47.893234,2026-06-03,Vijayawada,Hyderabad,19:00,00:20,680.0,Ch,4.9,,3,
180,2026-06-03T08:54:47.893234,2026-06-03,Vijayawada,Hyderabad,19:00,23:10,760.0,N/A,,,3,
181,2026-06-03T08:54:47.893234,2026-06-03,Vijayawada,Hyderabad,19:00,00:30,800.0,Likith,4.8,,3,
182,2026-06-03T08:54:47.893234,2026-06-03,Vijayawada,Hyderabad,20:00,01:10,700.0,Manohar,4.8,,3,
183,2026-06-03T08:54:47.893234,2026-06-03,Vijayawada,Hyderabad,20:00,00:40,750.0,Charan,5.0,,3,
184,2026-06-03T08:55:09.739044,2026-06-03,Warangal,Hyderabad,09:10,11:50,350.0,Ram,3.7,,3,
185,2026-06-03T08:55:09.739044,2026-06-03,Warangal,Hyderabad,09:30,12:10,350.0,Siva Reddy,4.4,,3,
186,2026-06-03T08:55:09.739044,2026-06-03,Warangal,Hyderabad,09:30,12:10,350.0,Steven,4.0,,3,
187,2026-06-03T08:55:09.739044,2026-06-03,Warangal,Hyderabad,09:30,12:10,360.0,Dumpala,2.9,,3,
189,2026-06-03T08:55:09.739044,2026-06-03,Warangal,Hyderabad,09:30,13:00,380.0,Vinay,0.0,,3,
190,2026-06-03T08:55:09.739044,2026-06-03,Warangal,Hyderabad,09:30,11:40,390.0,N/A,,1.0,3,2.0
191,2026-06-03T08:55:09.739044,2026-06-03,Warangal,Hyderabad,09:30,11:20,440.0,Arun,3.5,,3,
192,2026-06-03T08:55:09.739044,2026-06-03,Warangal,Hyderabad,09:30,13:00,510.0,Sandeep,3.3,,3,
193,2026-06-03T08:55:09.739044,2026-06-03,Warangal,Hyderabad,10:00,12:10,340.0,Anvesh,5.0,,3,
194,2026-06-03T08:55:09.739044,2026-06-03,Warangal,Hyderabad,10:00,13:30,350.0,Abhi Ram,4.0,,3,
